Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
handeye_mount_robot_side_link,0.00542295717154243,-3.47172012574374E-18,0.00579697260656211,0,0,0,0.0609951923380376,3.46204693116177E-05,1.26397696746349E-07,2.63618068582506E-07,4.43265762910423E-05,-1.35277987165136E-22,7.73237143374981E-05,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_robot_side_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_robot_side_link.STL,,Hand_Eye_Robot_Side_Indy7-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
handeye_mount_camera_side_left_link,-0.0245108685601493,0.015834659473862,-0.00286962559085117,0,0,0,0.00758533257273171,1.35958863699959E-06,-2.20340605842161E-07,-8.81003623362969E-09,1.95061759862085E-06,-4.38636193121888E-09,3.26709534910237E-06,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_left_link.STL,,Hand_Eye_Camera_Side_Left-1,Origin_handeye_mount_camera_side_left_joint,Axis_handeye_mount_camera_side_left_joint,handeye_mount_camera_side_left_joint,fixed,0.0758746859276655,-0.0375,0.00999999999999998,1.5707963267949,-1.5707963267949,0,handeye_mount_robot_side_link,0,0,0,,,,,,,,,,,,
handeye_mount_camera_side_right_link,-0.0245108685601493,0.015834659473862,-0.00313037440914883,0,0,0,0.00758533257273171,1.35958863699959E-06,-2.20340605842162E-07,8.81003623362979E-09,1.95061759862085E-06,4.38636193121886E-09,3.26709534910237E-06,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_right_link.STL,,Hand_Eye_Camera_Side_Right-1,Origin_handeye_mount_camera_side_right_joint,Axis_handeye_mount_camera_side_right_joint,handeye_mount_camera_side_right_joint,fixed,0.0758746859276655,0.0315,0.01,1.5707963267949,-1.5707963267949,0,handeye_mount_robot_side_link,0,0,0,,,,,,,,,,,,
handeye_mount_camera_side_front_link,-2.61587333391189E-18,0,0.005,0,0,0,0.00623322396259774,1.07682822843439E-07,-1.24621756525767E-22,1.2133930982937E-22,2.23999747115371E-06,5.29395592033938E-23,2.24265637118604E-06,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_front_link.STL,,Hand_Eye_Camera_Side_Top_Front-1,Origin_handeye_mount_camera_side_front_joint,Axis_handeye_mount_camera_side_front_joint,handeye_mount_camera_side_front_joint,fixed,0.0842398489650436,0,0.00258218041752943,-1.30899693899574,0,1.5707963267949,handeye_mount_robot_side_link,0,0,0,,,,,,,,,,,,
handeye_mount_camera_side_back_link,-2.99779924564527E-18,3.10338983952989E-05,0.005,0,0,0,0.00632693767145433,1.0928370911591E-07,-1.15244818391595E-22,2.77138766799426E-23,2.4167045243584E-06,0,2.41783153134202E-06,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/handeye_mount_camera_side_back_link.STL,,Hand_Eye_Camera_Side_Top_Back-1,Origin_handeye_mount_camera_side_back_joint,Axis_handeye_mount_camera_side_back_joint,handeye_mount_camera_side_back_joint,fixed,0.0712988967099173,0,-0.0457141108969239,-1.30899693899574,0,1.5707963267949,handeye_mount_robot_side_link,0,0,0,,,,,,,,,,,,
zivid2_link,-2.24053141334417E-08,0.0173151717883415,-0.0943181061541319,0,0,0,0.000142965573644119,1.05563375392155E-10,-2.04165995999251E-16,-1.33737132708073E-15,1.71964639230322E-08,-6.47115870912104E-11,1.72463016614633E-08,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/zivid2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zivid2_indy7_handeye_description/meshes/zivid2_link.STL,,Zivid_Two_for_URDF-1,Origin_zivid2_joint,Axis_zivid2_joint,zivid2_joint,fixed,0.116358127472006,0,0.00846998015505189,-0.261799387799153,0,-1.5707963267949,handeye_mount_robot_side_link,0,0,0,,,,,,,,,,,,
