2022-10-20 17:01:13,286 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:15,254 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:19,788 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:20,149 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:22,629 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:33,062 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:34,856 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:36,325 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:39,141 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:01:41,210 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:04:51,676 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:05:10,446 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:11:11,729 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 17:11:16,751 INFO  SwAddin.cs: 294 - Assembly export called for file Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:18,037 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-20 17:11:19,407 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-20 17:11:19,408 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,408 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,409 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,409 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 17:11:19,409 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 17:11:19,410 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:19,410 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:19,410 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 17:11:19,411 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,411 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,411 INFO  ExportHelperExtension.cs: 1145 - Found 10 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 17:11:19,412 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 17:11:19,412 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
